Solver,Dataset,Accuracy,Precision,Recall,F1-Score
gurobi2,solution_time (Val)  - 100e,0.9455645161290323,0.4727822580645161,0.5,0.48601036269430054
gurobi2,peak_memory (Test) - 50e,0.3968871595330739,0.35885775043669776,0.35096227840543587,0.3423874839386539
gurobi2,peak_memory (Val)  - 50e,0.2903225806451613,0.21874025974025973,0.21876265845651183,0.21423932564519949
gurobi2,peak_memory (Test) - 100e,0.41050583657587547,0.41450345165260283,0.3899341729736607,0.3928212348566652
gurobi2,peak_memory (Val)  - 100e,0.33064516129032256,0.2646129709043702,0.249838123812067,0.2522554639191955
dp2,solution_time (Test) - 50e,0.7804878048780488,0.7087033601319316,0.7330383923258947,0.7083250768470801
dp2,solution_time (Val)  - 50e,0.7428571428571429,0.7435164835164835,0.7091347054117085,0.7008213919021472
dp2,solution_time (Test) - 100e,0.7560975609756098,0.6202960729746444,0.6855807652072508,0.6405570601565564
dp2,solution_time (Val)  - 100e,0.7232142857142857,0.7343980414371476,0.6640527381985939,0.6404680384046197
dp2,optimality_gap (Test) - 50e,0.8885017421602788,0.3939375,0.32179054054054057,0.3491136810144669
dp2,optimality_gap (Val)  - 50e,0.9,0.48062015503875966,0.4928571428571429,0.4865805168986084
dp2,optimality_gap (Test) - 100e,0.8536585365853658,0.23972602739726026,0.23648648648648649,0.23809523809523808
dp2,optimality_gap (Val)  - 100e,0.8821428571428571,0.47933070866141736,0.4877551020408163,0.4834669338677355
dp2,peak_memory (Test) - 50e,0.39198606271777003,0.36535841609371017,0.4233638598994857,0.36910854110036345
dp2,peak_memory (Val)  - 50e,0.2892857142857143,0.2750497299072925,0.2483029481012978,0.2500205283060676
dp2,peak_memory (Test) - 100e,0.2665505226480836,0.2260670731707317,0.24668152959096395,0.2192633693532086
dp2,peak_memory (Val)  - 100e,0.26964285714285713,0.22197136197136197,0.17729404162248144,0.19080560991519896
