Solver,Target,Models,Weights,MAE,RMSE,R2,Top_K
gurobi2,solution_time,cb_svm_cnn_mlp_dt_rf_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",26.526091670667576,107.69320654394802,-17832885.741128307,7
gurobi2,optimality_gap,rf_svm_lr,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.0,0.0,1.0,3
gurobi2,optimality_gap,rf_svm_lr_dt_cnn,"[0.2, 0.2, 0.2, 0.2, 0.2]",1.9774866188981836e-10,1.9774866188981836e-10,0.0,5
gurobi2,optimality_gap,rf_svm_lr_dt_cnn_mlp,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",8.638326363404521e-05,8.638326363404521e-05,0.0,7
gurobi2,peak_memory,cb_dt_mlp,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",16088.613964802149,20188.214575660535,0.18912262103233113,3
gurobi2,peak_memory,cb_dt_mlp_cnn_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",14078.63954213849,18354.728142709788,0.3297215237020774,5
gurobi2,peak_memory,cb_dt_mlp_cnn_svm_rf_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",159562975.2699992,712372304.2563783,-1009655960.6293749,7
dp2,solution_time,cb_svm_mlp,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",86.49030809235556,132.45801653402907,0.982206815308837,3
dp2,solution_time,cb_svm_mlp_dt_rf,"[0.2, 0.2, 0.2, 0.2, 0.2]",87.37063889051629,119.64163062775206,0.9854835026644047,5
dp2,solution_time,cb_svm_mlp_dt_rf_cnn_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",126.2384942017614,258.2573087565404,0.9323601814731465,7
dp2,optimality_gap,cb_lr_svm,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",7.380055925267914e-05,0.00010945078152604118,-0.433619671620566,3
dp2,optimality_gap,cb_lr_svm_mlp_cnn,"[0.2, 0.2, 0.2, 0.2, 0.2]",5.491057431737343e-05,8.598464778689038e-05,0.11521438959766106,5
dp2,optimality_gap,cb_lr_svm_mlp_cnn_rf_dt,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",5.474633063183636e-05,9.194548746414331e-05,-0.011712362680597499,7
dp2,peak_memory,cb_lr_svm,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",308731.075896429,401047.4088698177,-0.4008792851372118,3
dp2,peak_memory,cb_lr_svm_rf_cnn,"[0.2, 0.2, 0.2, 0.2, 0.2]",304060.8251181673,395551.9584636298,-0.36275053810159297,5
dp2,peak_memory,cb_lr_svm_rf_cnn_mlp_dt,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",300036.7857268022,405590.8470548721,-0.4328000083788832,7
